value,type
42,Kept
42,Kept
44,Kept
45,Kept
45,Kept
42,Kept
45,Kept
42,Kept
42,Kept
42,Kept
42,Kept
42,Kept
42,Kept
44,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
54,Kept
48,Kept
48,Kept
48,Kept
29,Kept
54,Kept
55,Kept
53,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
50,Kept
48,Kept
50,Kept
50,Kept
50,Kept
50,Kept
50,Kept
50,Kept
38,Kept
25,Kept
26,Kept
25,Kept
45,Kept
46,Kept
46,Kept
46,Kept
50,Kept
39,Kept
32,Kept
43,Kept
43,Kept
41,Kept
39,Kept
39,Kept
39,Kept
39,Kept
39,Kept
39,Kept
39,Kept
38,Kept
39,Kept
39,Kept
49,Kept
49,Kept
49,Kept
41,Kept
34,Kept
41,Kept
46,Kept
37,Kept
39,Kept
39,Kept
32,Kept
25,Kept
25,Kept
49,Kept
41,Kept
41,Kept
45,Kept
45,Kept
45,Kept
44,Kept
44,Kept
44,Kept
38,Kept
38,Kept
38,Kept
38,Kept
37,Kept
36,Kept
38,Kept
38,Kept
38,Kept
38,Kept
39,Kept
38,Kept
48,Kept
48,Kept
48,Kept
48,Kept
43,Kept
35,Kept
48,Kept
45,Kept
49,Kept
47,Kept
47,Kept
45,Kept
45,Kept
45,Kept
43,Kept
39,Kept
36,Kept
36,Kept
35,Kept
32,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
39,Kept
39,Kept
36,Kept
36,Kept
40,Kept
40,Kept
40,Kept
40,Kept
38,Kept
36,Kept
36,Kept
36,Kept
36,Kept
40,Kept
38,Kept
38,Kept
38,Kept
38,Kept
36,Kept
24,Kept
24,Kept
48,Kept
37,Kept
41,Kept
39,Kept
36,Kept
54,Kept
46,Kept
55,Kept
55,Kept
55,Kept
55,Kept
41,Kept
41,Kept
36,Kept
27,Kept
41,Kept
41,Kept
41,Kept
56,Kept
41,Kept
41,Kept
41,Kept
39,Kept
