value,type
14,Kept
14,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
